noc,year,season,bronze_medals,gold_medals,silver_medals,total_medals
IND,1948,Summer,0,20,0,20
IND,1952,Summer,1,14,0,15
IND,1956,Summer,0,17,0,17
IND,1960,Summer,0,0,13,13
IND,1964,Summer,0,15,0,15
IND,1968,Summer,16,0,0,16
IND,1972,Summer,14,0,0,14
IND,1980,Summer,0,16,0,16
IND,1996,Summer,1,0,0,1
IND,2000,Summer,1,0,0,1
IND,2004,Summer,0,0,1,1
IND,2008,Summer,2,1,0,3
IND,2012,Summer,4,0,2,6
IND,2016,Summer,1,0,1,2
IOA,1992,Summer,2,0,1,3
IOA,2016,Summer,1,1,0,2
IRI,1948,Summer,1,0,0,1
IRI,1952,Summer,4,0,3,7
IRI,1956,Summer,1,2,2,5
IRI,1960,Summer,3,0,1,4
IRI,1964,Summer,2,0,0,2
IRI,1968,Summer,2,2,1,5
IRI,1972,Summer,1,0,2,3
IRI,1976,Summer,1,0,1,2
IRI,1988,Summer,0,0,1,1
IRI,1992,Summer,2,0,1,3
IRI,1996,Summer,1,1,1,3
IRI,2000,Summer,1,3,0,4
IRI,2004,Summer,2,2,2,6
IRI,2008,Summer,1,1,0,2
IRI,2012,Summer,3,4,5,12
IRI,2016,Summer,4,3,1,8
IRL,1924,Summer,1,0,1,2
IRL,1928,Summer,0,1,0,1
IRL,1932,Summer,0,2,0,2
IRL,1948,Summer,1,0,0,1
IRL,1952,Summer,0,0,1,1
IRL,1956,Summer,3,1,1,5
IRL,1964,Summer,1,0,0,1
IRL,1980,Summer,1,0,2,3
IRL,1984,Summer,0,0,1,1
IRL,1992,Summer,0,1,1,2
IRL,1996,Summer,1,3,0,4
IRL,2000,Summer,0,0,1,1
IRL,2008,Summer,2,0,1,3
IRL,2012,Summer,3,1,1,5
IRL,2016,Summer,0,0,3,3
IRQ,1960,Summer,1,0,0,1
ISL,1956,Summer,0,0,1,1
ISL,1984,Summer,1,0,0,1
ISL,2000,Summer,1,0,0,1
ISL,2008,Summer,0,0,14,14
ISR,1992,Summer,1,0,1,2
ISR,1996,Summer,1,0,0,1
ISR,2000,Summer,1,0,0,1
ISR,2004,Summer,1,1,0,2
ISR,2008,Summer,1,0,0,1
ISR,2016,Summer,2,0,0,2
ISV,1988,Summer,0,0,1,1
ITA,1900,Summer,0,3,2,5
ITA,1906,Summer,27,21,8,56
ITA,1908,Summer,0,2,6,8
ITA,1912,Summer,2,22,1,25
ITA,1920,Summer,8,67,9,84
ITA,1924,Summer,21,25,5,51
ITA,1928,Summer,26,24,22,72
ITA,1932,Summer,18,21,38,77
ITA,1936,Summer,5,37,34,76
ITA,1948,Summer,14,21,32,67
ITA,1948,Winter,0,1,0,1
ITA,1952,Summer,15,17,22,54
ITA,1952,Winter,1,1,0,2
ITA,1956,Summer,10,26,11,47
ITA,1956,Winter,0,2,6,8
ITA,1960,Summer,34,36,18,88
ITA,1960,Winter,1,0,0,1
ITA,1964,Summer,9,14,28,51
ITA,1964,Winter,8,0,2,10
ITA,1968,Summer,20,5,8,33
ITA,1968,Winter,0,8,0,8
ITA,1972,Summer,13,9,3,25
ITA,1972,Winter,1,3,5,9
ITA,1976,Summer,4,2,25,31
ITA,1976,Winter,1,1,2,4
ITA,1980,Summer,8,8,21,37
ITA,1980,Winter,0,0,3,3
ITA,1984,Summer,28,29,6,63
ITA,1984,Winter,0,2,0,2
ITA,1988,Summer,8,11,10,29
ITA,1988,Winter,5,2,1,8
ITA,1992,Summer,14,21,10,45
ITA,1992,Winter,8,4,9,21
ITA,1994,Winter,12,14,6,32
ITA,1996,Summer,28,19,24,71
ITA,1998,Winter,5,3,9,17
ITA,2000,Summer,29,22,14,65
ITA,2002,Winter,6,4,11,21
ITA,2004,Summer,39,24,41,104
ITA,2006,Winter,14,11,0,25
ITA,2008,Summer,20,8,14,42
ITA,2010,Winter,3,1,1,5
ITA,2012,Summer,30,16,22,68
ITA,2014,Winter,12,0,2,14
ITA,2016,Summer,24,8,40,72
JAM,1948,Summer,0,1,2,3
JAM,1952,Summer,0,5,3,8
JAM,1968,Summer,0,0,1,1
JAM,1972,Summer,1,0,0,1
JAM,1976,Summer,0,1,1,2
JAM,1980,Summer,3,0,0,3
JAM,1984,Summer,2,0,5,7
JAM,1988,Summer,0,0,7,7
JAM,1992,Summer,1,0,3,4
JAM,1996,Summer,12,1,3,16
JAM,2000,Summer,3,0,20,23
JAM,2004,Summer,6,6,1,13
JAM,2008,Summer,6,5,3,14
JAM,2012,Summer,8,8,9,25
JAM,2016,Summer,2,11,17,30
JOR,2016,Summer,0,1,0,1
JPN,1920,Summer,0,0,3,3
JPN,1924,Summer,1,0,0,1
JPN,1928,Summer,1,2,6,9
JPN,1932,Summer,4,10,17,31
JPN,1936,Summer,10,9,4,23
JPN,1952,Summer,2,1,9,12
JPN,1956,Summer,5,4,15,24
JPN,1956,Winter,0,0,1,1
JPN,1960,Summer,12,9,10,31
JPN,1964,Summer,25,32,5,62
JPN,1968,Summer,22,16,25,63
JPN,1972,Summer,8,29,19,56
JPN,1972,Winter,1,1,1,3
JPN,1976,Summer,10,25,6,41
JPN,1980,Winter,0,0,1,1
JPN,1984,Summer,31,10,8,49
JPN,1984,Winter,0,0,1,1
JPN,1988,Summer,13,4,3,20
JPN,1988,Winter,1,0,0,1
JPN,1992,Summer,36,3,8,47
JPN,1992,Winter,7,3,2,12
JPN,1994,Winter,2,3,5,10
JPN,1996,Summer,13,3,26,42
JPN,1998,Winter,4,8,1,13
JPN,2000,Summer,8,5,31,44
JPN,2002,Winter,1,0,1,2
JPN,2004,Summer,52,21,20,93
JPN,2006,Winter,0,1,0,1
JPN,2008,Summer,13,23,15,51
JPN,2010,Winter,2,0,5,7
JPN,2012,Summer,33,7,44,84
JPN,2014,Winter,6,1,4,11
JPN,2016,Summer,34,17,13,64
KAZ,1994,Winter,0,1,2,3
KAZ,1996,Summer,4,3,4,11
KAZ,1998,Winter,2,0,0,2
KAZ,2000,Summer,0,3,4,7
KAZ,2004,Summer,3,1,4,8
KAZ,2008,Summer,7,2,4,13
KAZ,2010,Winter,0,0,1,1
KAZ,2012,Summer,5,7,1,13
KAZ,2014,Winter,1,0,0,1
KAZ,2016,Summer,10,3,5,18
KEN,1964,Summer,1,0,0,1
KEN,1968,Summer,2,3,7,12
KEN,1972,Summer,4,5,3,12
KEN,1984,Summer,2,1,0,3
KEN,1988,Summer,2,5,2,9
KEN,1992,Summer,2,2,4,8
KEN,1996,Summer,3,1,4,8
KEN,2000,Summer,2,2,3,7
KEN,2004,Summer,2,1,4,7
KEN,2008,Summer,5,6,4,15
KEN,2012,Summer,5,2,4,11
KEN,2016,Summer,1,6,6,13
KGZ,2000,Summer,1,0,0,1
KGZ,2008,Summer,1,0,1,2
KOR,1948,Summer,2,0,0,2
KOR,1952,Summer,2,0,0,2
KOR,1956,Summer,1,0,1,2
KOR,1964,Summer,1,0,2,3
KOR,1968,Summer,1,0,1,2
KOR,1972,Summer,0,0,1,1
KOR,1976,Summer,15,1,1,17
KOR,1984,Summer,7,6,28,41
KOR,1988,Summer,12,28,37,77
KOR,1992,Summer,16,28,5,49
KOR,1992,Winter,1,5,1,7
KOR,1994,Winter,1,7,1,9
KOR,1996,Summer,7,10,49,66
KOR,1998,Winter,2,6,4,12
KOR,2000,Summer,35,12,26,73
KOR,2002,Winter,0,5,2,7
KOR,2004,Summer,10,14,28,52
KOR,2006,Winter,2,14,3,19
KOR,2008,Summer,26,41,11,78
KOR,2010,Winter,2,6,10,18
KOR,2012,Summer,30,18,13,61
KOR,2014,Winter,2,7,5,14
KOR,2016,Summer,10,13,3,26
KOS,2016,Summer,0,1,0,1
KSA,2000,Summer,1,0,1,2
KSA,2012,Summer,4,0,0,4
KUW,2000,Summer,1,0,0,1
KUW,2012,Summer,1,0,0,1
LAT,1932,Summer,0,0,1,1
LAT,1936,Summer,1,0,1,2
LAT,1992,Summer,1,0,2,3
LAT,1996,Summer,0,0,1,1
LAT,2000,Summer,1,1,1,3
LAT,2004,Summer,0,0,4,4
LAT,2006,Winter,1,0,0,1
LAT,2008,Summer,1,1,1,3
LAT,2010,Winter,0,0,3,3
LAT,2012,Summer,2,1,0,3
LAT,2014,Winter,6,0,5,11
LIB,1952,Summer,1,0,1,2
LIB,1972,Summer,0,0,1,1
LIB,1980,Summer,1,0,0,1
LIE,1976,Winter,2,0,0,2
LIE,1980,Winter,0,2,2,4
LIE,1984,Winter,2,0,0,2
LIE,1988,Winter,1,0,0,1
LTU,1992,Summer,12,1,0,13
LTU,1996,Summer,11,0,0,11
LTU,2000,Summer,15,2,0,17
LTU,2004,Summer,0,1,2,3
LTU,2008,Summer,3,0,2,5
LTU,2012,Summer,2,2,1,5
LTU,2016,Summer,5,0,2,7
LUX,1900,Summer,0,1,0,1
LUX,1920,Summer,0,0,1,1
LUX,1924,Summer,0,1,1,2
LUX,1928,Summer,0,1,0,1
LUX,1952,Summer,0,1,0,1
LUX,1992,Winter,0,0,2,2
MAR,1960,Summer,0,0,1,1
MAR,1984,Summer,0,2,0,2
MAR,1988,Summer,2,1,0,3
MAR,1992,Summer,1,1,1,3
MAR,1996,Summer,2,0,0,2
MAR,2000,Summer,4,0,1,5
MAR,2004,Summer,0,2,1,3
MAR,2008,Summer,1,0,1,2
MAR,2012,Summer,1,0,0,1
MAR,2016,Summer,1,0,0,1
MAS,1992,Summer,2,0,0,2
MAS,1996,Summer,1,0,2,3
MAS,2008,Summer,0,0,1,1
MAS,2012,Summer,1,0,1,2
MAS,2016,Summer,1,0,7,8
MDA,1996,Summer,1,0,2,3
MDA,2000,Summer,1,0,1,2
MDA,2008,Summer,1,0,0,1
MDA,2012,Summer,2,0,0,2
MEX,1900,Summer,3,0,0,3
MEX,1932,Summer,0,0,2,2
MEX,1936,Summer,16,0,0,16
MEX,1948,Summer,4,4,1,9
MEX,1952,Summer,0,0,1,1
MEX,1956,Summer,1,1,0,2
MEX,1960,Summer,1,0,0,1
MEX,1964,Summer,1,0,0,1
MEX,1968,Summer,3,3,3,9
MEX,1972,Summer,0,0,1,1
MEX,1976,Summer,1,1,0,2
MEX,1980,Summer,9,0,1,10
MEX,1984,Summer,1,2,3,6
MEX,1988,Summer,2,0,0,2
MEX,1992,Summer,0,0,1,1
MEX,1996,Summer,1,0,0,1
MEX,2000,Summer,3,1,2,6
MEX,2004,Summer,1,0,3,4
MEX,2008,Summer,2,2,0,4
MEX,2012,Summer,3,16,5,24
MEX,2016,Summer,2,0,3,5
MGL,1968,Summer,3,0,1,4
MGL,1972,Summer,0,0,1,1
MGL,1976,Summer,0,0,1,1
MGL,1980,Summer,2,0,2,4
MGL,1988,Summer,1,0,0,1
MGL,1992,Summer,2,0,0,2
MGL,1996,Summer,1,0,0,1
MGL,2004,Summer,1,0,0,1
MGL,2008,Summer,0,2,2,4
MGL,2012,Summer,3,0,2,5
MGL,2016,Summer,1,0,1,2
MKD,2000,Summer,1,0,0,1
MNE,2012,Summer,0,0,14,14
MON,1924,Summer,1,0,0,1
MOZ,1996,Summer,1,0,0,1
MOZ,2000,Summer,0,1,0,1
MRI,2008,Summer,1,0,0,1
NAM,1992,Summer,0,0,2,2
NAM,1996,Summer,0,0,2,2
NED,1900,Summer,16,3,8,27
NED,1906,Summer,5,0,1,6
NED,1908,Summer,16,0,0,16
NED,1912,Summer,26,0,0,26
NED,1920,Summer,25,15,10,50
NED,1924,Summer,18,8,1,27
NED,1928,Summer,8,20,29,57
NED,1932,Summer,1,2,10,13
NED,1936,Summer,21,9,7,37
NED,1948,Summer,32,8,2,42
NED,1952,Summer,0,0,18,18
NED,1952,Winter,0,0,3,3
NED,1960,Summer,2,0,1,3
NED,1960,Winter,1,0,1,2
NED,1964,Summer,16,5,10,31
NED,1964,Winter,0,1,1,2
NED,1968,Summer,1,6,7,14
NED,1968,Winter,3,3,3,9
NED,1972,Summer,2,3,1,6
NED,1972,Winter,2,4,3,9
NED,1976,Summer,12,0,2,14
NED,1976,Winter,3,1,2,6
NED,1980,Summer,5,0,1,6
NED,1980,Winter,1,1,2,4
NED,1984,Summer,14,20,7,41
NED,1988,Summer,36,3,6,45
NED,1988,Winter,2,3,2,7
NED,1992,Summer,8,5,20,33
NED,1992,Winter,2,1,1,4
NED,1994,Winter,3,0,1,4
NED,1996,Summer,26,38,9,73
NED,1998,Winter,2,5,4,11
NED,2000,Summer,23,27,29,79
NED,2002,Winter,0,3,5,8
NED,2004,Summer,22,4,51,77
NED,2006,Winter,8,3,2,13
NED,2008,Summer,4,39,18,61
NED,2010,Winter,6,4,1,11
NED,2012,Summer,19,21,29,69
NED,2014,Winter,9,13,7,29
NED,2016,Summer,13,9,25,47
NEP,1924,Winter,0,1,0,1
NGR,1964,Summer,1,0,0,1
NGR,1972,Summer,1,0,0,1
NGR,1984,Summer,4,0,1,5
NGR,1992,Summer,4,0,7,11
NGR,1996,Summer,3,17,4,24
NGR,2000,Summer,0,6,2,8
NGR,2004,Summer,8,0,0,8
NGR,2008,Summer,7,0,16,23
NGR,2016,Summer,18,0,0,18
NIG,1972,Summer,1,0,0,1
NIG,2016,Summer,0,0,1,1
NOR,1900,Summer,3,0,6,9
NOR,1904,Summer,0,2,0,2
NOR,1906,Summer,0,20,5,25
NOR,1908,Summer,3,7,32,42
NOR,1912,Summer,34,40,6,80
NOR,1920,Summer,27,58,52,137
NOR,1924,Summer,3,14,5,22
NOR,1924,Winter,6,4,7,17
NOR,1928,Summer,1,4,4,9
NOR,1928,Winter,5,6,4,15
NOR,1932,Winter,3,3,4,10
NOR,1936,Summer,15,1,12,28
NOR,1936,Winter,3,7,8,18
NOR,1948,Summer,11,3,4,18
NOR,1948,Winter,6,4,3,13
NOR,1952,Summer,0,5,8,13
NOR,1952,Winter,6,7,6,19
NOR,1956,Summer,2,1,0,3
NOR,1956,Winter,1,2,1,4
NOR,1960,Summer,0,2,0,2
NOR,1960,Winter,0,3,6,9
NOR,1964,Winter,6,3,6,15
NOR,1968,Summer,0,4,2,6
NOR,1968,Winter,2,11,9,22
NOR,1972,Summer,4,2,2,8
NOR,1972,Winter,7,2,8,17
NOR,1976,Summer,0,2,4,6
NOR,1976,Winter,1,3,6,10
NOR,1980,Winter,9,1,5,15
NOR,1984,Summer,3,0,1,4
NOR,1984,Winter,4,6,5,15
NOR,1988,Summer,0,2,20,22
NOR,1988,Winter,5,0,6,11
NOR,1992,Summer,1,2,20,23
NOR,1992,Winter,5,9,10,24
NOR,1994,Winter,5,8,17,30
NOR,1996,Summer,18,2,3,23
NOR,1998,Winter,12,13,15,40
NOR,2000,Summer,19,20,4,43
NOR,2002,Winter,7,23,11,41
NOR,2004,Summer,2,5,0,7
NOR,2006,Winter,12,2,9,23
NOR,2008,Summer,1,16,5,22
NOR,2010,Winter,9,16,14,39
NOR,2012,Summer,1,15,1,17
NOR,2014,Winter,13,18,5,36
NOR,2016,Summer,19,0,0,19
NZL,1900,Summer,0,1,0,1
NZL,1920,Summer,1,0,0,1
NZL,1924,Summer,1,0,0,1
NZL,1928,Summer,0,1,0,1
NZL,1932,Summer,0,0,2,2
NZL,1936,Summer,0,1,0,1
NZL,1952,Summer,2,1,0,3
NZL,1956,Summer,0,3,0,3
NZL,1960,Summer,1,2,0,3
NZL,1964,Summer,2,4,0,6
NZL,1968,Summer,2,5,0,7
NZL,1972,Summer,1,9,4,14
NZL,1976,Summer,9,15,1,25
NZL,1984,Summer,6,16,1,23
NZL,1988,Summer,16,4,4,24
NZL,1992,Summer,5,1,9,15
NZL,1992,Winter,0,0,1,1
NZL,1996,Summer,4,3,2,9
NZL,2000,Summer,3,1,0,4
NZL,2004,Summer,0,4,2,6
NZL,2008,Summer,9,4,2,15
NZL,2012,Summer,15,9,3,27
NZL,2016,Summer,5,6,25,36
PAK,1956,Summer,0,0,14,14
PAK,1960,Summer,1,13,0,14
PAK,1964,Summer,0,0,16,16
PAK,1968,Summer,0,13,0,13
PAK,1972,Summer,0,0,15,15
PAK,1976,Summer,16,0,0,16
PAK,1984,Summer,0,16,0,16
PAK,1988,Summer,1,0,0,1
PAK,1992,Summer,16,0,0,16
PAN,1948,Summer,2,0,0,2
PAN,2008,Summer,0,1,0,1
PAR,2004,Summer,0,0,17,17
PER,1948,Summer,0,1,0,1
PER,1984,Summer,0,0,1,1
PER,1988,Summer,0,0,12,12
PER,1992,Summer,0,0,1,1
PHI,1928,Summer,1,0,0,1
PHI,1932,Summer,3,0,0,3
PHI,1936,Summer,1,0,0,1
PHI,1964,Summer,0,0,1,1
PHI,1988,Summer,1,0,0,1
PHI,1992,Summer,1,0,0,1
PHI,1996,Summer,0,0,1,1
PHI,2016,Summer,0,0,1,1
POL,1924,Summer,1,0,4,5
POL,1928,Summer,15,2,3,20
POL,1932,Summer,14,3,4,21
POL,1936,Summer,6,0,6,12
POL,1948,Summer,1,1,0,2
POL,1952,Summer,1,1,2,4
POL,1956,Summer,9,1,9,19
POL,1956,Winter,1,0,0,1
POL,1960,Summer,15,4,11,30
POL,1960,Winter,1,0,1,2
POL,1964,Summer,23,10,13,46
POL,1968,Summer,30,5,2,37
POL,1972,Summer,11,27,8,46
POL,1972,Winter,0,1,0,1
POL,1976,Summer,26,18,29,73
POL,1980,Summer,22,3,25,50
POL,1988,Summer,10,2,9,21
POL,1992,Summer,19,5,22,46
POL,1996,Summer,7,7,8,22
POL,2000,Summer,7,7,10,24
POL,2002,Winter,1,0,1,2
POL,2004,Summer,6,4,2,12
POL,2006,Winter,1,0,1,2
POL,2008,Summer,1,6,13,20
POL,2010,Winter,4,1,3,8
POL,2012,Summer,8,2,2,12
POL,2014,Winter,3,4,4,11
POL,2016,Summer,10,3,3,16
POR,1924,Summer,4,0,0,4
POR,1928,Summer,6,0,0,6
POR,1936,Summer,3,0,0,3
POR,1948,Summer,3,0,2,5
POR,1952,Summer,2,0,0,2
POR,1960,Summer,0,0,2,2
POR,1976,Summer,0,0,2,2
POR,1984,Summer,2,1,0,3
POR,1988,Summer,0,1,0,1
POR,1996,Summer,2,1,0,3
POR,2000,Summer,2,0,0,2
POR,2004,Summer,1,0,2,3
POR,2008,Summer,0,1,1,2
POR,2012,Summer,0,0,2,2
POR,2016,Summer,1,0,0,1
PRK,1964,Winter,0,0,1,1
PRK,1972,Summer,13,1,1,15
PRK,1976,Summer,0,1,1,2
PRK,1980,Summer,2,0,3,5
PRK,1992,Summer,6,4,0,10
PRK,1992,Winter,1,0,0,1
PRK,1996,Summer,2,2,1,5
PRK,2000,Summer,3,0,1,4
PRK,2004,Summer,1,0,4,5
PRK,2008,Summer,3,2,1,6
PRK,2012,Summer,2,4,0,6
PRK,2016,Summer,2,2,3,7
PUR,1948,Summer,1,0,0,1
PUR,1976,Summer,1,0,0,1
PUR,1984,Summer,1,0,1,2
PUR,1992,Summer,1,0,0,1
PUR,1996,Summer,1,0,0,1
PUR,2012,Summer,1,0,1,2
PUR,2016,Summer,0,1,0,1
QAT,1992,Summer,1,0,0,1
QAT,2000,Summer,1,0,0,1
QAT,2012,Summer,2,0,0,2
QAT,2016,Summer,0,0,1,1
ROU,1924,Summer,16,0,0,16
ROU,1936,Summer,0,0,1,1
ROU,1952,Summer,2,1,1,4
ROU,1956,Summer,10,6,3,19
ROU,1960,Summer,11,3,1,15
ROU,1964,Summer,10,2,4,16
ROU,1968,Summer,9,5,9,23
ROU,1968,Winter,2,0,0,2
ROU,1972,Summer,27,3,10,40
ROU,1976,Summer,23,4,28,55
ROU,1980,Summer,46,7,15,68
ROU,1984,Summer,35,40,31,106
ROU,1988,Summer,16,8,34,58
ROU,1992,Summer,14,8,31,53
ROU,1996,Summer,15,13,10,38
ROU,2000,Summer,13,27,6,46
ROU,2004,Summer,11,23,5,39
ROU,2008,Summer,16,5,1,22
ROU,2012,Summer,6,2,8,16
ROU,2016,Summer,10,4,2,16
RSA,1908,Summer,0,1,1,2
RSA,1912,Summer,0,5,2,7
RSA,1920,Summer,6,3,12,21
RSA,1924,Summer,1,1,1,3
RSA,1928,Summer,5,1,0,6
RSA,1932,Summer,3,2,0,5
RSA,1936,Summer,0,0,1,1
RSA,1948,Summer,2,2,2,6
RSA,1952,Summer,4,2,8,14
RSA,1956,Summer,7,0,0,7
RSA,1960,Summer,2,0,1,3
RSA,1992,Summer,0,0,3,3
RSA,1996,Summer,1,3,1,5
RSA,2000,Summer,3,0,2,5
RSA,2004,Summer,3,4,3,10
RSA,2008,Summer,0,0,1,1
RSA,2012,Summer,1,6,2,9
RSA,2016,Summer,14,2,7,23
RUS,1908,Summer,0,1,2,3
RUS,1912,Summer,9,0,5,14
RUS,1994,Winter,4,19,13,36
RUS,1996,Summer,34,36,45,115
RUS,1998,Winter,6,14,32,52
RUS,2000,Summer,54,66,67,187
RUS,2002,Winter,27,6,5,38
RUS,2004,Summer,95,48,46,189
RUS,2006,Winter,13,16,12,41
RUS,2008,Summer,53,43,46,142
RUS,2010,Winter,14,6,5,25
RUS,2012,Summer,51,50,39,140
RUS,2014,Winter,13,33,22,68
RUS,2016,Summer,35,52,28,115
SCG,1996,Summer,13,1,12,26
SCG,2000,Summer,13,11,1,25
SCG,2004,Summer,0,0,13,13
SEN,1988,Summer,0,0,1,1
SGP,1960,Summer,0,0,1,1
SGP,2008,Summer,0,0,3,3
SGP,2012,Summer,4,0,0,4
SGP,2016,Summer,0,1,0,1
SLO,1992,Summer,6,0,0,6
SLO,1994,Winter,3,0,0,3
SLO,1996,Summer,0,0,2,2
SLO,2000,Summer,0,3,0,3
SLO,2002,Winter,4,0,0,4
SLO,2004,Summer,3,0,2,5
SLO,2008,Summer,2,1,2,5
SLO,2010,Winter,1,0,2,3
SLO,2012,Summer,3,1,1,5
SLO,2014,Winter,4,2,2,8
SLO,2016,Summer,1,1,2,4
SRB,2008,Summer,14,0,1,15
SRB,2012,Summer,14,1,1,16
SRB,2016,Summer,13,14,27,54
SRI,1948,Summer,0,0,1,1
SRI,2000,Summer,0,0,1,1
SUD,2008,Summer,0,0,1,1
SUI,1896,Summer,0,1,2,3
SUI,1900,Summer,1,16,4,21
SUI,1904,Summer,2,1,0,3
SUI,1906,Summer,1,8,3,12
SUI,1912,Summer,0,2,0,2
SUI,1920,Summer,21,6,2,29
SUI,1924,Summer,21,14,25,60
SUI,1924,Winter,1,8,0,9
SUI,1928,Summer,4,16,10,30
SUI,1928,Winter,12,0,0,12
SUI,1932,Summer,0,0,1,1
SUI,1932,Winter,0,0,2,2
SUI,1936,Summer,24,5,23,52
SUI,1936,Winter,0,4,6,10
SUI,1948,Summer,6,5,25,36
SUI,1948,Winter,19,4,5,28
SUI,1952,Summer,12,2,19,33
SUI,1952,Winter,6,0,0,6
SUI,1956,Summer,3,0,0,3
SUI,1956,Winter,2,6,2,10
SUI,1960,Summer,6,0,6,12
SUI,1960,Winter,0,2,0,2
SUI,1964,Summer,1,1,4,6
SUI,1968,Summer,10,0,3,13
SUI,1968,Winter,7,0,2,9
SUI,1972,Summer,0,0,8,8
SUI,1972,Winter,7,7,3,17
SUI,1976,Summer,6,1,3,10
SUI,1976,Winter,2,1,6,9
SUI,1980,Summer,0,2,0,2
SUI,1980,Winter,3,2,4,9
SUI,1984,Summer,4,0,9,13
SUI,1984,Winter,4,2,2,8
SUI,1988,Summer,2,0,6,8
SUI,1988,Winter,5,8,7,20
SUI,1992,Summer,0,1,0,1
SUI,1992,Winter,5,2,0,7
SUI,1994,Winter,4,4,8,16
SUI,1996,Summer,0,5,6,11
SUI,1998,Winter,3,6,5,14
SUI,2000,Summer,2,1,11,14
SUI,2002,Winter,14,3,7,24
SUI,2004,Summer,4,1,2,7
SUI,2006,Winter,9,5,7,21
SUI,2008,Summer,7,3,1,11
SUI,2010,Winter,6,6,0,12
SUI,2012,Summer,0,2,2,4
SUI,2014,Winter,20,6,4,30
SUI,2016,Summer,2,6,3,11
SUR,1988,Summer,0,1,0,1
SUR,1992,Summer,1,0,0,1
SVK,1996,Summer,1,1,1,3
SVK,2000,Summer,1,2,3,6
SVK,2004,Summer,5,3,2,10
SVK,2006,Winter,0,0,1,1
SVK,2008,Summer,1,4,5,10
SVK,2010,Winter,1,1,1,3
SVK,2012,Summer,4,0,1,5
SVK,2014,Winter,0,1,0,1
SVK,2016,Summer,0,3,5,8
SWE,1900,Summer,1,3,0,4
SWE,1906,Summer,14,2,5,21
SWE,1908,Summer,18,48,18,84
SWE,1912,Summer,25,103,62,190
SWE,1920,Summer,64,52,38,154
SWE,1924,Summer,43,7,22,72
SWE,1924,Winter,0,1,8,9
SWE,1928,Summer,22,7,8,37
SWE,1928,Winter,1,2,13,16
SWE,1932,Summer,12,13,7,32
SWE,1932,Winter,0,1,2,3
SWE,1936,Summer,17,7,11,35
SWE,1936,Winter,6,2,2,10
SWE,1948,Summer,30,30,15,75
SWE,1948,Winter,3,7,3,13
SWE,1952,Summer,23,23,24,70
SWE,1952,Winter,23,0,0,23
SWE,1956,Summer,6,14,14,34
SWE,1956,Winter,9,2,4,15
SWE,1960,Summer,3,2,2,7
SWE,1960,Winter,2,5,2,9
SWE,1964,Summer,8,3,4,15
SWE,1964,Winter,1,6,21,28
SWE,1968,Summer,1,4,4,9
SWE,1968,Winter,6,3,7,16
SWE,1972,Summer,8,4,10,22
SWE,1972,Winter,2,1,1,4
SWE,1976,Summer,0,9,1,10
SWE,1976,Winter,2,0,0,2
SWE,1980,Summer,9,3,8,20
SWE,1980,Winter,20,3,0,23
SWE,1984,Summer,13,3,18,34
SWE,1984,Winter,21,7,2,30
SWE,1988,Summer,11,0,5,16
SWE,1988,Winter,23,7,0,30
SWE,1992,Summer,7,1,27,35
SWE,1992,Winter,6,1,0,7
SWE,1994,Winter,0,23,1,24
SWE,1996,Summer,5,3,23,31
SWE,1998,Winter,5,0,2,7
SWE,2000,Summer,8,4,20,32
SWE,2002,Winter,24,0,2,26
SWE,2004,Summer,2,5,5,12
SWE,2006,Winter,8,35,21,64
SWE,2008,Summer,2,0,5,7
SWE,2010,Winter,4,11,3,18
SWE,2012,Summer,3,2,17,22
SWE,2014,Winter,11,8,32,51
SWE,2016,Summer,3,2,23,28
SYR,1984,Summer,0,0,1,1
SYR,1996,Summer,0,1,0,1
SYR,2004,Summer,1,0,0,1
TAN,1980,Summer,0,0,2,2
TCH,1920,Summer,10,0,0,10
TCH,1924,Summer,5,1,4,10
TCH,1928,Summer,2,2,12,16
TCH,1928,Winter,1,0,0,1
TCH,1932,Summer,2,1,3,6
TCH,1936,Summer,1,5,12,18
TCH,1948,Summer,3,14,3,20
TCH,1948,Winter,0,0,17,17
TCH,1952,Summer,10,11,4,25
TCH,1956,Summer,1,1,5,7
TCH,1960,Summer,11,4,7,22
TCH,1960,Winter,0,0,1,1
TCH,1964,Summer,12,5,37,54
TCH,1964,Winter,17,0,0,17
TCH,1968,Summer,15,7,7,29
TCH,1968,Winter,1,1,19,21
TCH,1972,Summer,6,2,21,29
TCH,1972,Winter,19,1,0,20
TCH,1976,Summer,9,2,4,15
TCH,1976,Winter,0,0,19,19
TCH,1980,Summer,16,17,18,51
TCH,1980,Winter,1,0,0,1
TCH,1984,Winter,4,0,24,28
TCH,1988,Summer,3,3,4,10
TCH,1988,Winter,5,0,1,6
TCH,1992,Summer,1,4,3,8
TCH,1992,Winter,27,0,0,27
TGA,1996,Summer,0,0,1,1
THA,1976,Summer,1,0,0,1
THA,1984,Summer,0,0,1,1
THA,1988,Summer,1,0,0,1
THA,1992,Summer,1,0,0,1
THA,1996,Summer,1,1,0,2
THA,2000,Summer,2,1,0,3
THA,2004,Summer,4,3,1,8
THA,2008,Summer,0,2,2,4
THA,2012,Summer,1,0,2,3
THA,2016,Summer,2,2,2,6
TJK,2008,Summer,1,0,1,2
TJK,2012,Summer,1,0,0,1
TJK,2016,Summer,0,1,0,1
TOG,2008,Summer,1,0,0,1
